name,Paper Soldier (feat. Joony),Happier Than Ever,Asiwaju,Bad Bad Bad (feat. Lil Baby),Stronger,Essence (feat. Tems),lost souls (with Brent Faiyaz),"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)",Hallelujah (feat. Morgan Heritage),"III. Telegraph Ave. (""Oakland"" by Lloyd)",Sunbathe,Massive,Insecure,Dear Ex,Komasava (Comment Ça Va),imperfect for you,Rush,Guess featuring billie eilish,Demons,I'm Gonna Miss You,Video Games,Please Please Please,Vienna,Perfect (Exceeder) - Martijn Ten Velden Vocal Remix,Kiwi,Rehab (Winter In Paris),Good Days,Ex-Factor,He Loves Me (Lyzel in E Flat),Rehab (Winter In Paris),Garden Kisses,Gang Over Luv,In Love
Paper Soldier (feat. Joony),1.0,-0.7393304322267548,-0.06382483617637838,0.183772518658743,-0.33419880086429693,0.014755424052805631,0.577222712522146,0.2216344214032489,-0.5873033952340326,0.32253132031767034,-0.7910342932439959,-0.03427036279445232,0.9802360194688187,0.1258985656034364,0.2382406358685755,0.46571092034118694,0.4076130467904463,0.5849406708927588,0.41478968683856904,-0.5898896537976097,-0.7333416914745771,-0.31348560652616975,-0.053851376699686856,0.548196882403674,0.3926636578100463,0.18916079743515676,-0.07300887890305967,-0.6664198293393134,-0.619869697947244,0.18916079743515676,-0.2834599388872145,0.5928647036997539,-0.8572790815174159
Happier Than Ever,-0.7393304322267548,1.0000000000000002,-0.4916539267473117,-0.6360704708519692,-0.1513880666195955,-0.6711084090194519,-0.03632330462755429,-0.23350739187813419,0.170311800672286,-0.15737487886422208,0.18498642115778613,0.27150042117779705,-0.7387713515723963,-0.5561120065622259,-0.7791735767808508,0.10399378192338689,-0.748784918429223,-0.9463936252348005,-0.26258172070048147,0.33226494221544617,0.9844269616393831,-0.22432327699710494,0.6044981968399121,-0.8300847377733891,-0.20038271450402187,0.4449301949391742,0.3731053242325732,0.22395487104946943,0.7198571805984337,0.4449301949391742,0.8528193654061144,-0.194888277271904,0.4498755314037763
Asiwaju,-0.06382483617637838,-0.4916539267473117,0.9999999999999997,0.9665672179817533,0.2883472065975499,0.9003294296513584,-0.6215385603360178,-0.5078206473619038,0.31812572573590236,-0.1479925562381984,0.5980676336456916,-0.8423529087196835,0.05525080017566337,0.930252281892819,0.8419584020166696,-0.6788091332603445,0.1466937424360173,0.68198080063307,-0.013446284306922834,0.6328421941997591,-0.5809485055507618,0.8604235303447055,-0.9843673239935964,0.3815229338858839,-0.42135935933610974,-0.6749047054695272,-0.6891819843486838,0.5465643032681738,-0.22349088660975489,-0.6749047054695272,-0.7791971953863426,-0.24781958609397378,0.21545643580695995
Bad Bad Bad (feat. Lil Baby),0.183772518658743,-0.6360704708519692,0.9665672179817533,1.0,0.15784189060822718,0.8570538167907733,-0.4571441133350127,-0.5050562449204873,0.15047482773068446,-0.059870481840701796,0.3735530823064653,-0.8741538849857996,0.3052101771088506,0.954047687868939,0.8619258852825347,-0.5367886256017697,0.18161801987179516,0.7924854022762756,0.09454236200503989,0.5152840716597384,-0.7328046157752885,0.7694684624700812,-0.975219344409143,0.4761806076586871,-0.3363649235256145,-0.5775282372986554,-0.7022333977314835,0.3755861655119781,-0.3536344505005273,-0.5775282372986554,-0.797430028677,-0.07685312673705924,-0.0188198660378191
Stronger,-0.33419880086429693,-0.1513880666195955,0.2883472065975499,0.15784189060822718,1.0000000000000002,0.5160110623264366,-0.8139262982665121,0.27392258768751787,0.90387193025698,0.4451307990372654,0.5200121195148805,0.05730047174098486,-0.30950350592502057,0.3311196022436716,0.5580128801946733,-0.8373074028438551,0.577084287486153,0.3259174135328501,-0.7979064804869623,-0.016332000750143787,-0.05935112188191306,0.6159894068607003,-0.3642439312521396,0.5833213269004822,0.4555543172208537,-0.8900818984865944,0.38010446518180463,0.7062235522356259,-0.48830470438730317,-0.8900818984865944,-0.4924998595262451,-0.9154424402765379,0.2066564905066491
Essence (feat. Tems),0.014755424052805631,-0.6711084090194519,0.9003294296513584,0.8570538167907733,0.5160110623264366,1.0,-0.6066604035010837,-0.08541439067137929,0.3740416823649823,-0.11119852717441946,0.5932178954416728,-0.541236612827184,0.06940829587609959,0.8072756506603893,0.9315437212320673,-0.6912824915820711,0.5419914340712316,0.7952812495409027,-0.0484248955672005,0.2966831026135272,-0.6878025021107224,0.7631509778654525,-0.9283737941045908,0.6045891296352316,-0.21001145338490382,-0.8441477576368146,-0.5597794413765756,0.4492688555327171,-0.38321966654243345,-0.8441477576368146,-0.9524357646756136,-0.32897256230890337,0.23062407188825812
lost souls (with Brent Faiyaz),0.577222712522146,-0.03632330462755429,-0.6215385603360178,-0.4571441133350127,-0.8139262982665121,-0.6066604035010837,1.0,0.30367138302861557,-0.9350012066491713,-0.23796426930067868,-0.7807842123326574,0.42824673392748525,0.4657222774408564,-0.617282123030009,-0.5869819424698215,0.9899992541967784,-0.120933944688549,-0.25227388241014176,0.7400261279808027,-0.5645387561923676,-0.028505804063104594,-0.9111259005359124,0.6209045550473268,-0.30393176388482246,-0.011876742444868065,0.8467403973923394,-0.03793635755871018,-0.9738885951066807,0.2156000733486125,0.8467403973923394,0.43553707431706956,0.9055049122142048,-0.40461444398967605
"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)",0.2216344214032489,-0.23350739187813419,-0.5078206473619038,-0.5050562449204873,0.27392258768751787,-0.08541439067137929,0.30367138302861557,0.9999999999999999,-0.0886698500193695,0.03959695638352055,-0.22505607998824456,0.85629709859913,0.04804897507709685,-0.5521056710281519,-0.10410892372156562,0.2637769201882052,0.7283821438151229,0.017347193716967642,0.04613335400314376,-0.8761586840080509,-0.06769531006071738,-0.5158314145089407,0.42285382170550284,0.2906273730705737,0.48520158271543773,-0.06619365282423652,0.39264468064626223,-0.4465823622118302,-0.20469866286193594,-0.06619365282423652,-0.10372962352963588,0.018001813638820276,-0.03626464012819358
Hallelujah (feat. Morgan Heritage),-0.5873033952340326,0.170311800672286,0.31812572573590236,0.15047482773068446,0.90387193025698,0.3740416823649823,-0.9350012066491713,-0.0886698500193695,1.0000000000000002,0.4280648255646244,0.6319429694962659,-0.13579450102285773,-0.5064956758315907,0.36882403780876605,0.40467781302052114,-0.9115005358804963,0.17607728798655148,0.09049586040006166,-0.9113578421526639,0.32962916758127087,0.20993959348996305,0.731663120347313,-0.3440320797740415,0.30675696078770115,0.28726744642212126,-0.7757023715851205,0.38137426636328914,0.917817087232065,-0.2706340092976337,-0.7757023715851205,-0.24960659777641805,-0.9965020502140403,0.3155344587122545
"III. Telegraph Ave. (""Oakland"" by Lloyd)",0.32253132031767034,-0.15737487886422208,-0.1479925562381984,-0.059870481840701796,0.4451307990372654,-0.11119852717441946,-0.23796426930067868,0.03959695638352055,0.4280648255646244,0.9999999999999999,-0.4108410505267544,-0.0036407651734276882,0.3983005213109682,0.20178738389100914,0.23110478410266644,-0.2744506235327255,0.24442795231555603,0.2797715379254619,-0.7085724190256163,-0.2944840654948449,-0.11243045717012728,0.2025966095744757,0.009859906163037637,0.6041925102976993,0.889492183212634,-0.26377823131273037,0.7183370158816209,0.2349246046341856,-0.7920286676462974,-0.26377823131273037,-0.0329055325285588,-0.4351017037687361,-0.703196644657188
