id,name,artist,album,danceability,energy,tempo,valence
0ReoK9isNvJmI7nV2iJcNR,Paper Soldier (feat. Joony),Brent Faiyaz,Paper Soldier (feat. Joony),0.687,0.598,151.027,0.489
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,Happier Than Ever,0.332,0.225,81.055,0.297
6z5y2kdxF4XrEVRFVqdGVL,Asiwaju,Ruger,RU The World,0.867,0.584,100.034,0.737
1GeNui6m825V8jP4uKiIaH,Bad Bad Bad (feat. Lil Baby),Young Thug,So Much Fun,0.974,0.596,111.959,0.892
0j2T0R9dR9qdJYsB7ciXhf,Stronger,Kanye West,Graduation,0.617,0.716,104.014,0.496
5FG7Tl93LdH117jEKYl3Cm,Essence (feat. Tems),Wizkid,Made In Lagos,0.849,0.707,104.027,0.602
02rdXe0KhMe8p6ZHzYtuw0,lost souls (with Brent Faiyaz),Baby Keem,The Melodic Blue,0.649,0.347,169.994,0.176
0RyA3o15NOLJYtm9NlDu5c,"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)",A$AP Mob,Cozy Tapes Vol. 2: Too Cozy,0.635,0.777,128.09,0.177
5CzjCrFiatUMK6Ln6oVPrQ,Hallelujah (feat. Morgan Heritage),Diamond Platnumz,A Boy From Tandale,0.568,0.689,92.195,0.562
0fgosF2PWrYbyy9e7BclKz,"III. Telegraph Ave. (""Oakland"" by Lloyd)",Childish Gambino,Because the Internet,0.497,0.693,129.928,0.597
6tPX67OuLWJc8XOH4dkDNE,Sunbathe,Tainy,Sunbathe,0.704,0.56,88.048,0.479
28JBD8p18xNuOfyV7Cotdn,Massive,Drake,"Honestly, Nevermind",0.499,0.671,124.994,0.0557
6dDDPV8S5meV46SamOnDNl,Insecure,Sauti Sol,Midnight Train,0.68,0.585,147.96,0.535
60dCQCXtY2OOQSfR3QnSYt,Dear Ex,Marioo,The Kid You Know,0.777,0.617,112.003,0.785
5mjxSIPHAMNk40q0nON5Cb,Komasava (Comment Ça Va),Diamond Platnumz,Komasava (Comment Ça Va),0.863,0.837,112.998,0.764
6XXKB32Om6WuXg3uEWwTob,imperfect for you,Ariana Grande,eternal sunshine,0.624,0.38,150.14,0.251
4ZnkygoWLzcGbQYCm3lkae,Rush,Troye Sivan,Something To Give Each Other,0.728,0.841,125.991,0.402
0IsIY8pfu1yaGkPUD7pkDx,Guess featuring billie eilish,Charli xcx,Brat and it’s completely different but also still brat,0.78,0.713,130.034,0.615
6vb4kCEIM7zrwuHlxFbfeB,Demons,Doja Cat,Scarlet,0.831,0.362,139.941,0.313
2dThEJP9S344qzNhePcSzj,I'm Gonna Miss You,Milli Vanilli,All Or Nothing,0.708,0.27,75.644,0.752
24jvD83UgLmrdGjhWTFslY,Video Games,Lana Del Rey,Born To Die - The Paradise Edition,0.236,0.249,72.847,0.181
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,Please Please Please,0.669,0.586,107.071,0.579
4U45aEWtQhrm8A5mxPaFZ7,Vienna,Billy Joel,The Stranger (Legacy Edition),0.532,0.495,124.936,0.308
1U4jpScCcuS2fsHYIo0ui7,Perfect (Exceeder) - Martijn Ten Velden Vocal Remix,Mason,Perfect (Exceeder),0.68,0.751,127.983,0.556
33SNO8AaciGbNaQFkxvPrW,Kiwi,Harry Styles,Harry Styles,0.375,0.93,147.124,0.491
0zWbYGQq5O1KQd0iqzgjP6,Rehab (Winter In Paris),Brent Faiyaz,Fuck The World,0.549,0.242,144.211,0.286
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,Good Days,0.436,0.655,121.002,0.412
2VjXGuPVVxyhMgER3Uz2Fe,Ex-Factor,Ms. Lauryn Hill,The Miseducation of Lauryn Hill,0.593,0.619,80.02,0.668
2PzYqACbv12FNhrlHPfJEH,He Loves Me (Lyzel in E Flat),Jill Scott,"Who Is Jill Scott? - Words and Sounds, Vol. 1",0.649,0.3,99.989,0.294
0zWbYGQq5O1KQd0iqzgjP6,Rehab (Winter In Paris),Brent Faiyaz,Fuck The World,0.549,0.242,144.211,0.286
62d6YXEYxmMWAuLpw1EysL,Garden Kisses,Giveon,Garden Kisses,0.478,0.373,120.129,0.354
7LaI3mRTJu66r9HKdv7iBx,Gang Over Luv,Brent Faiyaz,Sonder Son,0.781,0.277,163.987,0.302
4Sp4AgLbWeqddzY7DNhJFv,In Love,Aaron May,CHASE,0.718,0.474,74.942,0.319
